Suburb,PPB_K,Dev_PPB_K,Year
ASHWOOD,455.4,155.675,2018
ASPENDALE,303.5,3.775,2018
ASPENDALE GARDENS,270.417,-29.308,2018
BERWICK,195,-104.725,2018
BONBEACH,262.5,-37.225,2018
BURWOOD,474.067,174.342,2018
CARRUM DOWNS,173.346,-126.379,2018
CHADSTONE,344.167,44.442,2018
CHELTENHAM,312.207,12.482,2018
CLARINDA,267.5,-32.225,2018
CLAYTON,623.333,323.608,2018
DANDENONG,328.333,28.608,2018
DANDENONG NORTH,212.719,-87.006,2018
DINGLEY VILLAGE,260.229,-39.496,2018
DOVETON,223.333,-76.392,2018
ENDEAVOUR HILLS,216.615,-83.11,2018
FRANKSTON,216.019,-83.706,2018
FRANKSTON SOUTH,321.667,21.942,2018
GLEN WAVERLEY,320.97,21.245,2018
HIGHETT,415,115.275,2018
HUGHESDALE,203.75,-95.975,2018
LANGWARRIN,150,-149.725,2018
MENTONE,325,25.275,2018
MOORABBIN,317.333,17.608,2018
MORDIALLOC,260,-39.725,2018
MOUNT WAVERLEY,369.355,69.63,2018
MULGRAVE,248.059,-51.666,2018
NARRE WARREN,191.167,-108.558,2018
NOBLE PARK,247.5,-52.225,2018
OAKLEIGH,393.4,93.675,2018
OAKLEIGH SOUTH,250,-49.725,2018
PARKDALE,334.286,34.561,2018
SANDHURST,213.333,-86.392,2018
SEAFORD,251.5,-48.225,2018
SPRINGVALE,323.75,24.025,2018
WHEELERS HILL,350,50.275,2018
